Transaction ID,Client Ref 2,Action Date,Instalment,Service Type,Instalments,Account Name,Value,Frequency,
10542322,5904,2018/06/30,2,2 Day Debit,3,N,214.00,3,
10353931,4322,2018/06/30,3,2 Day Debit,3,S,250.00,3,
10615954,5607,2018/06/30,2,2 Day Debit,3,N,250.00,3,
10956059,6007,2018/06/30,1,2 Day Debit,3,N,300.00,3,
10354031,3928,2018/06/30,3,2 Day Debit,3,W,100.00,3,
10525024,5800,2018/06/30,2,2 Day Debit,3,N,100.00,3,
10353817,4468,2018/06/30,3,2 Day Debit,3,N,105.00,3,
10527296,4983,2018/06/30,2,2 Day Debit,3,M,296.00,3,
10956142,6022,2018/06/30,1,2 Day Debit,3,B,301.00,3,
10525138,2276,2018/06/30,2,2 Day Debit,3,N,295.00,3,
10542336,5427,2018/06/30,2,2 Day Debit,3,N,300.00,3,
10353917,2050,2018/06/30,3,2 Day Debit,3,V,50.00,3,
10354014,5553,2018/06/30,3,2 Day Debit,3,N,295.00,3,
10354114,2202,2018/06/30,3,2 Day Debit,3,S,51.00,3,
10956242,6087,2018/06/30,1,2 Day Debit,3,N,301.00,3,
10354000,2620,2018/06/30,3,2 Day Debit,3,T,300.00,3,
10616208,2027,2018/06/30,2,2 Day Debit,3,S,300.00,3,
10955874,2010,2018/06/30,1,2 Day Debit,3,B,100.00,3,
10353532,2743,2018/06/30,3,2 Day Debit,3,M,300.00,3,
10956128,2741,2018/06/30,1,2 Day Debit,3,O,300.00,3,
10616089,5645,2018/06/30,2,2 Day Debit,3,N,50.00,3,
10616189,5689,2018/06/30,2,2 Day Debit,3,M,300.00,3,
10615937,5596,2018/06/30,2,2 Day Debit,3,N,300.00,3,
10616191,5690,2018/06/30,2,2 Day Debit,3,A,300.00,3,
10616037,3373,2018/06/30,2,2 Day Debit,3,S,300.00,3,
10525190,5758,2018/06/30,2,2 Day Debit,3,L,300.00,3,
10956225,3936,2018/06/30,1,2 Day Debit,3,Z,186.00,3,
10525090,2878,2018/06/30,2,2 Day Debit,3,M,153.00,3,
10956111,2156,2018/06/30,1,2 Day Debit,3,N,295.00,3,
10525107,5824,2018/06/30,2,2 Day Debit,3,A,295.00,3,
10542305,4735,2018/06/30,2,2 Day Debit,3,N,300.00,3,
9995075,2060,2018/06/30,4,2 Day Debit,4,V,170.00,3,
10353983,5337,2018/06/30,3,2 Day Debit,3,T,50.00,3,
10525007,2343,2018/06/30,2,2 Day Debit,3,N,300.00,3,
10354083,5559,2018/06/30,3,2 Day Debit,3,F,250.00,3,
10616106,2318,2018/06/30,2,2 Day Debit,3,N,295.00,3,
10956261,6081,2018/06/30,1,2 Day Debit,3,Z,100.00,3,
10590369,2915,2018/06/30,2,2 Day Debit,3,N,296.00,3,
10955907,2723,2018/06/30,1,2 Day Debit,3,N,295.00,3,
10354183,3185,2018/06/30,3,2 Day Debit,3,N,300.00,3,
10956161,4519,2018/06/30,1,2 Day Debit,3,N,126.00,3,
10955893,5417,2018/06/30,1,2 Day Debit,3,G,153.00,3,
10353615,2067,2018/06/30,3,2 Day Debit,3,K,250.00,3,
10956244,5402,2018/06/30,1,2 Day Debit,3,N,295.00,3,
10617543,3592,2018/06/30,2,2 Day Debit,3,N,296.00,3,
10524988,5793,2018/06/30,2,2 Day Debit,3,V,238.00,3,
10542303,4235,2018/06/30,2,2 Day Debit,3,N,300.00,3,
10955959,6067,2018/06/30,1,2 Day Debit,3,N,250.00,3,
10525005,4288,2018/06/30,2,2 Day Debit,3,N,295.00,3,
9956538,2604,2018/06/30,4,2 Day Debit,4,N,221.00,3,
10542272,3768,2018/06/30,2,2 Day Debit,3,N,300.00,3,
10956109,2246,2018/06/30,1,2 Day Debit,3,P,214.00,3,
10353881,2882,2018/06/30,3,2 Day Debit,3,N,300.00,3,
10795282,5954,2018/06/30,2,2 Day Debit,3,L,300.00,3,
10956009,2128,2018/06/30,1,2 Day Debit,3,N,300.00,3,
10353981,4159,2018/06/30,3,2 Day Debit,3,M,295.00,3,
10524974,4709,2018/06/30,2,2 Day Debit,3,N,300.00,3,
10956192,6132,2018/06/30,1,2 Day Debit,3,K,237.00,3,
10353964,5024,2018/06/30,3,2 Day Debit,3,M,51.00,3,
10542386,4731,2018/06/30,2,2 Day Debit,3,N,300.00,3,
10353767,2151,2018/06/30,3,2 Day Debit,3,S,100.00,3,
10956092,3226,2018/06/30,1,2 Day Debit,3,N,237.00,3,
10354064,2721,2018/06/30,3,2 Day Debit,3,C,50.00,3,
10525088,3378,2018/06/30,2,2 Day Debit,3,B,250.00,3,
10542286,5886,2018/06/30,2,2 Day Debit,3,P,300.00,3,
10353867,5498,2018/06/30,3,2 Day Debit,3,N,295.00,3,
10617574,4554,2018/06/30,2,2 Day Debit,3,A,300.00,3,
10616134,4937,2018/06/30,2,2 Day Debit,3,F,250.00,3,
10616077,5594,2018/06/30,2,2 Day Debit,3,B,301.00,3,
10527308,4530,2018/06/30,2,2 Day Debit,3,N,154.00,3,
10542348,3421,2018/06/30,2,2 Day Debit,3,T,100.00,3,
10524993,4550,2018/06/30,2,2 Day Debit,3,G,238.00,3,
10617531,4719,2018/06/30,2,2 Day Debit,3,V,298.00,3,
10524950,5370,2018/06/30,2,2 Day Debit,3,N,300.00,3,
10525204,4593,2018/06/30,2,2 Day Debit,3,N,300.00,3,
10353926,3144,2018/06/30,3,2 Day Debit,3,N,295.00,3,
10956104,4796,2018/06/30,1,2 Day Debit,3,L,300.00,3,
10542334,2806,2018/06/30,2,2 Day Debit,3,V,295.00,3,
10353969,4109,2018/06/30,3,2 Day Debit,3,N,300.00,3,
10955990,6050,2018/06/30,1,2 Day Debit,3,N,300.00,3,
10956147,6107,2018/06/30,1,2 Day Debit,3,N,100.00,3,
10814996,3936,2018/06/30,2,2 Day Debit,3,Z,300.00,3,
10353912,2462,2018/06/30,3,2 Day Debit,3,B,300.00,3,
10354069,3121,2018/06/30,3,2 Day Debit,3,N,295.00,3,
10542291,5890,2018/06/30,2,2 Day Debit,3,T,153.00,3,
10956047,6026,2018/06/30,1,2 Day Debit,3,N,295.00,3,
10956204,6096,2018/06/30,1,2 Day Debit,3,M,51.00,3,
10524936,3776,2018/06/30,2,2 Day Debit,3,D,300.00,3,
10562407,3976,2018/06/30,2,2 Day Debit,3,B,301.00,3,
10353715,2970,2018/06/30,3,2 Day Debit,3,M,250.00,3,
10354166,3092,2018/06/30,3,2 Day Debit,3,T,50.00,3,
10615923,3279,2018/06/30,2,2 Day Debit,3,N,300.00,3,
10955876,3133,2018/06/30,1,2 Day Debit,3,N,300.00,3,
10353815,4468,2018/06/30,3,2 Day Debit,3,N,300.00,3,
10353798,4196,2018/06/30,3,2 Day Debit,3,S,300.00,3,
10353898,5535,2018/06/30,3,2 Day Debit,3,N,237.00,3,
10615906,5585,2018/06/30,2,2 Day Debit,3,N,295.00,3,
10616006,5514,2018/06/30,2,2 Day Debit,3,A,300.00,3,
10955976,6058,2018/06/30,1,2 Day Debit,3,Z,190.00,3,
10562376,2666,2018/06/30,2,2 Day Debit,3,M,250.00,3,
10524957,3881,2018/06/30,2,2 Day Debit,3,S,300.00,3,
10527329,4843,2018/06/30,2,2 Day Debit,3,S,300.00,3,
10525071,5408,2018/06/30,2,2 Day Debit,3,S,300.00,3,
10615987,4767,2018/06/30,2,2 Day Debit,3,N,51.00,3,
10616087,5643,2018/06/30,2,2 Day Debit,3,W,295.00,3,
10352948,2982,2018/06/30,3,2 Day Debit,3,N,301.00,3,
10525140,3198,2018/06/30,2,2 Day Debit,3,I,238.00,3,
10956175,6116,2018/06/30,1,2 Day Debit,3,A,237.00,3,
6395330,3145,2018/06/30,10,2 Day Debit,13,Z,294.60,3,
10562390,5182,2018/06/30,2,2 Day Debit,3,L,300.00,3,
10956078,3119,2018/06/30,1,2 Day Debit,3,T,300.00,3,
10616172,5679,2018/06/30,2,2 Day Debit,3,C,153.00,3,
10353499,2454,2018/06/30,3,2 Day Debit,4,O,88.00,3,
10353950,5186,2018/06/30,3,2 Day Debit,3,N,250.00,3,
10795313,5963,2018/06/30,2,2 Day Debit,3,G,300.00,3,
10354050,3898,2018/06/30,3,2 Day Debit,3,P,295.00,3,
10615904,5584,2018/06/30,2,2 Day Debit,3,N,300.00,3,
10616158,4434,2018/06/30,2,2 Day Debit,3,N,300.00,3,
10955824,5971,2018/06/30,1,2 Day Debit,3,B,295.00,3,
10616039,3244,2018/06/30,2,2 Day Debit,3,A,238.00,3,
10353682,2436,2018/06/30,3,2 Day Debit,3,Z,301.00,3,
10525223,5765,2018/06/30,2,2 Day Debit,3,N,153.00,3,
10616139,3186,2018/06/30,2,2 Day Debit,3,M,100.00,3,
10590350,2240,2018/06/30,2,2 Day Debit,3,T,300.00,3,
10525038,5818,2018/06/30,2,2 Day Debit,3,L,295.00,3,
10542804,3421,2018/06/30,2,2 Day Debit,3,T,301.00,3,
10352846,2747,2018/06/30,3,2 Day Debit,3,S,170.00,3,
10352946,2995,2018/06/30,3,2 Day Debit,3,P,88.00,3,
10524955,4289,2018/06/30,2,2 Day Debit,3,T,295.00,3,
10590336,5944,2018/06/30,2,2 Day Debit,3,N,300.00,3,
9995078,2062,2018/06/30,4,2 Day Debit,4,N,300.00,3,
10955942,4118,2018/06/30,1,2 Day Debit,3,N,300.00,3,
10354012,5552,2018/06/30,3,2 Day Debit,3,L,300.00,3,
10616020,5527,2018/06/30,2,2 Day Debit,3,N,300.00,3,
10616177,2933,2018/06/30,2,2 Day Debit,3,N,300.00,3,
10795301,3634,2018/06/30,2,2 Day Debit,3,N,295.00,3,
10955836,2462,2018/06/30,1,2 Day Debit,3,B,237.00,3,
10353955,2284,2018/06/30,3,2 Day Debit,3,L,190.00,3,
10616120,3597,2018/06/30,2,2 Day Debit,3,S,295.00,3,
10956090,2157,2018/06/30,1,2 Day Debit,3,A,295.00,3,
